Timestamp,Open,High,Low,Close,Volume
1748313000,108614,108715,107936,108307,35.10971915
1748314800,108300,109300,108300,108922,62.48519474
1748316600,108916,109075,108878,108923,2.41171720
1748318400,108929,109170,108886,109073,1.93435242
1748320200,109073,109365,108941,108980,8.46255263
1748322000,108979,108987,108637,108688,24.08440621
1748323800,108672,108998,108598,108944,9.35849433
1748325600,108942,109224,108942,109126,4.85591833
1748327400,109144,109298,108858,108864,3.31658547
1748329200,108883,109287,108883,109173,3.10764770
1748331000,109211,109640,109211,109534,39.86952461
1748332800,109640,109801,109595,109700,17.54732254
1748334600,109698,109752,109525,109733,3.74154597
1748336400,109733,109804,109525,109552,4.15040956
1748338200,109552,109915,109463,109866,9.26652686
1748340000,109866,109896,109776,109842,7.02831983
1748341800,109842,109842,109674,109730,2.67807481
1748343600,109730,109809,109499,109575,3.44465830
1748345400,109575,109652,109473,109609,3.23477609
1748347200,109609,109862,109605,109842,7.76934325
1748349000,109845,109853,109505,109645,6.01089668
1748350800,109644,110789,109636,110526,96.82197154
1748352600,110527,110786,109777,109895,46.75423061
1748354400,109904,110387,109614,109614,70.47741448
1748356200,109596,109685,108766,109420,86.46763161
1748358000,109406,109764,109081,109701,13.02802369
1748359800,109699,110274,109686,110188,30.85267919
1748361600,110188,110388,110019,110161,10.89531470
1748363400,110145,110545,110000,110263,87.05101681
1748365200,110264,110513,110033,110171,18.10401146
1748367000,110171,110446,110055,110295,10.17992641
1748368800,110295,110478,110111,110111,32.89195248
1748370600,110110,110251,109878,109946,16.57612823
1748372400,109935,109935,109632,109697,131.03720214
1748374200,109704,110119,109667,109936,89.02259653
1748376000,109942,109950,109765,109837,5.76662249
1748377800,109837,109941,109593,109612,12.47191695
1748379600,109599,109727,109094,109097,55.19584430
1748381400,109096,109299,108883,108974,18.21565465
1748383200,108986,109218,108650,108943,21.63895066
1748385000,108920,109158,108910,109112,4.94108843
1748386800,109049,109186,108972,108972,11.78747448
1748388600,108969,109173,108969,108980,15.59045194
1748390400,108980,109091,108755,109090,20.67912399
